School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2015-2016,1227538,Special Ed AM Run,2621,J711,Heavy Traffic,75003,11/5/15 8:10,11/5/15 8:12,New Jersey,"RELIANT TRANS, INC. (B232",,11,Yes,No,Yes,11/5/15 8:12,,11/5/15 8:12,Running Late,School-Age
2015-2016,1227539,Special Ed AM Run,1260,M351,Heavy Traffic,06716,11/5/15 8:10,11/5/15 8:12,Manhattan,HOYT TRANSPORTATION CORP.,20MNS,2,Yes,Yes,No,11/5/15 8:12,,11/5/15 8:13,Running Late,School-Age
2015-2016,1227540,Pre-K/EI,418,3,Heavy Traffic,C445,11/5/15 8:09,11/5/15 8:13,Bronx,"G.V.C., LTD.",15MIN,8,Yes,Yes,Yes,11/5/15 8:13,,11/5/15 8:13,Running Late,Pre-K
2015-2016,1227541,Special Ed AM Run,4522,M271,Heavy Traffic,02699,11/5/15 8:12,11/5/15 8:14,Manhattan,"RELIANT TRANS, INC. (B232",15 MIN,6,No,No,No,11/5/15 8:14,,11/5/15 8:14,Running Late,School-Age
2015-2016,1227542,Special Ed AM Run,3124,M373,Heavy Traffic,02116,11/5/15 8:13,11/5/15 8:14,Manhattan,"RELIANT TRANS, INC. (B232",,6,No,No,No,11/5/15 8:14,,11/5/15 8:14,Running Late,School-Age
2015-2016,1227543,Special Ed AM Run,HT1502,W796,Heavy Traffic,75407,11/5/15 7:58,11/5/15 8:14,Westchester,CHILDREN`S TRANS INC. (B2,30 min,1,Yes,Yes,Yes,11/5/15 8:14,,11/5/15 8:14,Running Late,School-Age
2015-2016,1227544,Special Ed AM Run,142,W633,Heavy Traffic,75670,11/5/15 8:24,11/5/15 8:15,Westchester,MAR-CAN TRANSPORT CO. INC,20MINS,3,Yes,No,No,11/5/15 8:15,,11/5/15 8:16,Running Late,School-Age
2015-2016,1227545,Special Ed AM Run,1417,M678,Heavy Traffic,03417,11/5/15 8:15,11/5/15 8:16,Manhattan,LEESEL TRANSP CORP (B2192,15,3,Yes,Yes,No,11/5/15 8:16,,11/5/15 8:16,Running Late,School-Age
2015-2016,1227546,Special Ed AM Run,56102,M126,Heavy Traffic,01450,11/5/15 7:55,11/5/15 8:17,Manhattan,CONSOLIDATED BUS TRANS. I,30 mins,5,Yes,Yes,Yes,11/5/15 8:17,,11/5/15 8:17,Running Late,School-Age
2015-2016,1227547,Special Ed AM Run,1344,M922,Heavy Traffic,02930,11/5/15 8:16,11/5/15 8:17,Manhattan,LEESEL TRANSP CORP (B2192,20,3,Yes,Yes,No,11/5/15 8:17,,11/5/15 8:17,Running Late,School-Age
2015-2016,1227551,Special Ed AM Run,1358,M490,Heavy Traffic,03004,11/5/15 8:19,11/5/15 8:20,Manhattan,LEESEL TRANSP CORP (B2192,20,3,Yes,Yes,No,11/5/15 8:20,,11/5/15 8:20,Running Late,School-Age
2015-2016,1227553,Pre-K/EI,899,10,Heavy Traffic,C601,11/5/15 8:19,11/5/15 8:20,Bronx,"G.V.C., LTD.",30 MINS,13,Yes,Yes,No,11/5/15 8:20,,11/5/15 8:20,Running Late,Pre-K
2015-2016,1227554,Special Ed AM Run,600,P877,Heavy Traffic,24008,11/5/15 8:18,11/5/15 8:20,Brooklyn,HAPPY CHILD TRANS LLC (B2,30 MIN,4,Yes,No,No,11/5/15 8:20,,11/5/15 8:20,Running Late,School-Age
